fSW (MHz),I(IN),I(OUT),V(OUT),V(IN),A_T,A_B
140,-0.0290881,0.0139292,1.85E+00,1,0.01,0
145,-0.0294727,0.0140995,1.85E+00,1,0.01,0
150,-0.0298291,0.0142535,1.85E+00,1,0.01,0
155,-0.0301611,0.0143967,1.85E+00,1,0.01,0
160,-0.0304706,0.0145289,1.85E+00,1,0.01,0
165,-0.0307588,0.0146491,1.85E+00,1,0.01,0
170,-0.0310284,0.0147636,1.85E+00,1,0.01,0
175,-0.0312803,0.0148666,1.85E+00,1,0.01,0
180,-0.0315161,0.0149604,1.85E+00,1,0.01,0
185,-0.0317356,0.0150474,1.85E+00,1,0.01,0
190,-0.0319434,0.015128,1.85E+00,1,0.01,0
195,-0.0321376,0.015201,1.85E+00,1,0.01,0
200,-0.0323199,0.0152714,1.85E+00,1,0.01,0
205,-0.0324914,0.0153343,1.85E+00,1,0.01,0
210,-0.0326526,0.0153899,1.85E+00,1,0.01,0
215,-0.0328044,0.015443,1.85E+00,1,0.01,0
220,-0.0329484,0.0154928,1.85E+00,1,0.01,0
225,-0.0330834,0.0155364,1.85E+00,1,0.01,0
230,-0.0332092,0.0155766,1.85E+00,1,0.01,0
235,-0.0333303,0.0156146,1.85E+00,1,0.01,0
240,-0.0334447,0.0156493,1.85E+00,1,0.01,0
245,-0.0335521,0.0156815,1.85E+00,1,0.01,0
250,-0.0336545,0.0157086,1.85E+00,1,0.01,0
50,-0.0127098,0.0052887,1.85E+00,1,0.05,0
55,-0.0138679,0.00576042,1.85E+00,1,0.05,0
60,-0.0149754,0.00620659,1.85E+00,1,0.05,0
65,-0.0160275,0.0066249,1.85E+00,1,0.05,0
70,-0.0170213,0.00701316,1.85E+00,1,0.05,0
75,-0.0179553,0.00737164,1.85E+00,1,0.05,0
80,-0.0188298,0.00769979,1.85E+00,1,0.05,0
85,-0.0196463,0.0079984,1.85E+00,1,0.05,0
90,-0.0204061,0.00826876,1.85E+00,1,0.05,0
95,-0.0211126,0.00851173,1.85E+00,1,0.05,0
100,-0.0217675,0.00872918,1.85E+00,1,0.05,0
105,-0.0223755,0.00892195,1.85E+00,1,0.05,0
110,-0.0229388,0.00909283,1.85E+00,1,0.05,0
115,-0.0234609,0.00924259,1.85E+00,1,0.05,0
120,-0.0239442,0.00937264,1.85E+00,1,0.05,0
125,-0.0243933,0.00948568,1.85E+00,1,0.05,0
130,-0.0248094,0.00958171,1.85E+00,1,0.05,0
135,-0.0251954,0.00966294,1.85E+00,1,0.05,0
140,-0.0255541,0.00972999,1.85E+00,1,0.05,0
145,-0.0258876,0.00978377,1.85E+00,1,0.05,0
150,-0.0261982,0.00982654,1.85E+00,1,0.05,0
155,-0.026487,0.00985822,1.85E+00,1,0.05,0
160,-0.0267563,0.00987974,1.85E+00,1,0.05,0
165,-0.0270073,0.00989263,1.85E+00,1,0.05,0
170,-0.0272418,0.00989778,1.85E+00,1,0.05,0
175,-0.0274611,0.00989442,1.85E+00,1,0.05,0
180,-0.0276678,0.0098832,1.85E+00,1,0.05,0
185,-0.0278599,0.00986651,1.85E+00,1,0.05,0
190,-0.0280406,0.00984314,1.85E+00,1,0.05,0
195,-0.0282094,0.00981474,1.85E+00,1,0.05,0
200,-0.0283683,0.00978104,1.85E+00,1,0.05,0
205,-0.0285196,0.0097416,1.85E+00,1,0.05,0
210,-0.0286591,0.00969944,1.85E+00,1,0.05,0
215,-0.0287935,0.00965249,1.85E+00,1,0.05,0
220,-0.0289189,0.00960132,1.85E+00,1,0.05,0
225,-0.0290381,0.00954685,1.85E+00,1,0.05,0
230,-0.0291491,0.00948938,1.85E+00,1,0.05,0
235,-0.0292573,0.00942877,1.85E+00,1,0.05,0
240,-0.0293579,0.0093652,1.85E+00,1,0.05,0
245,-0.0294531,0.0092991,1.85E+00,1,0.05,0
250,-0.0295454,0.00923088,1.85E+00,1,0.05,0
50,-0.0153132,0.00740537,1.85E+00,1,0,0.01
60,-0.0180536,0.00872599,1.85E+00,1,0,0.01
70,-0.0205335,0.00991652,1.85E+00,1,0,0.01
80,-0.0227305,0.010966,1.85E+00,1,0,0.01
90,-0.0246487,0.0118763,1.85E+00,1,0,0.01
100,-0.0263091,0.0126575,1.85E+00,1,0,0.01
110,-0.0277373,0.0133232,1.85E+00,1,0,0.01
120,-0.0289665,0.01389,1.85E+00,1,0,0.01
130,-0.0300222,0.0143707,1.85E+00,1,0,0.01
140,-0.030932,0.0147794,1.85E+00,1,0,0.01
150,-0.0317202,0.0151254,1.85E+00,1,0,0.01
160,-0.0324001,0.015419,1.85E+00,1,0,0.01
170,-0.0329934,0.0156664,1.85E+00,1,0,0.01
180,-0.033511,0.0158788,1.85E+00,1,0,0.01
190,-0.0339648,0.0160587,1.85E+00,1,0,0.01
200,-0.0343651,0.0162139,1.85E+00,1,0,0.01
210,-0.0347192,0.0163424,1.85E+00,1,0,0.01
