fsw	V(in)	V(out)	I(V1)	I(V2)
3.170000000000000e+004	1.000000e+000	1.900000e+000	-1.869144e-004	7.911988e-005
3.220000000000000e+004	1.000000e+000	1.900000e+000	-1.878213e-004	7.934889e-005
3.270000000000000e+004	1.000000e+000	1.900000e+000	-1.886972e-004	7.956237e-005
3.320000000000000e+004	1.000000e+000	1.900000e+000	-1.895432e-004	7.976095e-005
3.370000000000000e+004	1.000000e+000	1.900000e+000	-1.903606e-004	7.994523e-005
3.420000000000000e+004	1.000000e+000	1.900000e+000	-1.911507e-004	8.011581e-005
3.470000000000000e+004	1.000000e+000	1.900000e+000	-1.919144e-004	8.027324e-005
3.520000000000000e+004	1.000000e+000	1.900000e+000	-1.926529e-004	8.041805e-005
3.570000000000000e+004	1.000000e+000	1.900000e+000	-1.933672e-004	8.055075e-005
3.620000000000000e+004	1.000000e+000	1.900000e+000	-1.940582e-004	8.067182e-005
3.670000000000000e+004	1.000000e+000	1.900000e+000	-1.947269e-004	8.078174e-005
3.720000000000000e+004	1.000000e+000	1.900000e+000	-1.953742e-004	8.088093e-005
3.770000000000000e+004	1.000000e+000	1.900000e+000	-1.960009e-004	8.096984e-005
3.820000000000000e+004	1.000000e+000	1.900000e+000	-1.966078e-004	8.104885e-005
3.870000000000000e+004	1.000000e+000	1.900000e+000	-1.971956e-004	8.111836e-005
3.920000000000000e+004	1.000000e+000	1.900000e+000	-1.977652e-004	8.117872e-005
3.970000000000000e+004	1.000000e+000	1.900000e+000	-1.983173e-004	8.123031e-005
4.020000000000000e+004	1.000000e+000	1.900000e+000	-1.988524e-004	8.127345e-005
4.070000000000000e+004	1.000000e+000	1.900000e+000	-1.993714e-004	8.130846e-005
4.120000000000000e+004	1.000000e+000	1.900000e+000	-1.998746e-004	8.133566e-005
4.170000000000000e+004	1.000000e+000	1.900000e+000	-2.003628e-004	8.135534e-005
4.220000000000000e+004	1.000000e+000	1.900000e+000	-2.008366e-004	8.136778e-005
4.270000000000000e+004	1.000000e+000	1.900000e+000	-2.012964e-004	8.137324e-005
4.320000000000000e+004	1.000000e+000	1.900000e+000	-2.017428e-004	8.137199e-005
4.370000000000000e+004	1.000000e+000	1.900000e+000	-2.021762e-004	8.136427e-005
4.420000000000000e+004	1.000000e+000	1.900000e+000	-2.025972e-004	8.135032e-005
4.470000000000000e+004	1.000000e+000	1.900000e+000	-2.030062e-004	8.133037e-005
4.520000000000000e+004	1.000000e+000	1.900000e+000	-2.034036e-004	8.130463e-005
