time	I(Out)
2.000265807059739e-008	-1.690188e-008
2.000348710589607e-008	-2.288699e-008
2.000431614119474e-008	-2.842727e-008
2.000514517649342e-008	-3.352272e-008
2.000597421179209e-008	-3.817335e-008
2.000680324709076e-008	-4.237915e-008
2.000774140921511e-008	-4.681217e-008
2.000864697171889e-008	-5.071524e-008
2.000958797101026e-008	-5.441184e-008
2.001050506104949e-008	-5.769526e-008
2.001145074228657e-008	-6.077879e-008
2.001237988733587e-008	-6.353739e-008
2.001333278813122e-008	-6.611157e-008
2.001427502452671e-008	-6.842674e-008
2.001523767732007e-008	-7.057650e-008
2.001619450868384e-008	-7.251753e-008
2.001716963974359e-008	-7.431296e-008
2.001814308989918e-008	-7.593864e-008
2.001913372673306e-008	-7.743778e-008
2.002012637843015e-008	-7.879786e-008
2.002113595989048e-008	-8.004889e-008
2.002215102022345e-008	-8.118528e-008
2.002318351731462e-008	-8.222827e-008
2.002422490788476e-008	-8.317627e-008
2.002528496054324e-008	-8.404459e-008
2.002635743687664e-008	-8.483385e-008
2.002745051521421e-008	-8.555529e-008
2.002855982260702e-008	-8.621070e-008
2.002969242342769e-008	-8.680848e-008
2.003084550017285e-008	-8.735091e-008
2.003202539378672e-008	-8.784439e-008
2.003323063847678e-008	-8.829134e-008
2.003446718751341e-008	-8.869670e-008
2.003573481582947e-008	-8.906285e-008
2.003703939833516e-008	-8.939367e-008
2.003838192833669e-008	-8.969134e-008
2.003976851439429e-008	-8.995897e-008
2.004120144113442e-008	-9.019857e-008
2.004268740002260e-008	-9.041262e-008
2.004423015636785e-008	-9.060292e-008
2.004751478039052e-008	-9.091998e-008
2.005111576459488e-008	-9.116307e-008
2.005511324893487e-008	-9.134369e-008
2.006210416000187e-008	-9.151899e-008
2.007083433210066e-008	-9.160436e-008
2.008027727195989e-008	-9.160721e-008
2.008972021181912e-008	-9.160275e-008
2.009916315167836e-008	-9.159097e-008
2.010860609153759e-008	-9.157188e-008
2.011804903139683e-008	-9.154548e-008
2.012749197125606e-008	-9.151176e-008
